symbol,securityName,sector
SDBD87,Shangri-la Development Bank Debenture 2087,Non-Convertible Debenture
EBLD91,Everest Bank Limited Debenture 2091,Non-Convertible Debenture
NIMBD90,10% NIMB Debenture 2090,Non-Convertible Debenture
SBLD83,10.25% SBL Debenture 2083,Non-Convertible Debenture
LBBLD89,11% L.B.B.L. Debenture 2089,Non-Convertible Debenture
ENL,Emerging Nepal Limited,Investment
SAND2085,10% Sanima Bank Limited Debenture,Non-Convertible Debenture
SBLD2091,7.25% SBL Debenture 2091,Non-Convertible Debenture
SBCF,Sunrise Bluechip Fund,Mutual Fund
NBF3,Nabil Balanced Fund-3,Mutual Fund
NYADI,Nyadi Hydropower Limited,Hydro Power
SLCF,Sanima Large Cap Fund,Mutual Fund
NIFRAGED,Nifra Green Energy Debenture 6% - 2088/89,Non-Convertible Debenture
MBLEF,MBL Equity Fund,Mutual Fund
SPDL,Synergy Power Development Ltd.,Hydro Power
KDBY,Kumari Dhanabriddhi Yojana,Mutual Fund
RBBD83,8.5% RBBL Debenture 2083,Non-Convertible Debenture
RMF2,RBB Mutual Fund 2,Mutual Fund
GSY,Garima Samriddhi Yojana,Mutual Fund
KSY,Kumari Sabal Yojana,Mutual Fund
SBID89,9% Nepal SBI Bank Rinpatra 2089,Non-Convertible Debenture
LUK,Laxmi Unnati Kosh,Mutual Fund
NICAD2091,7% NIC ASIA Debenture 2091,Non-Convertible Debenture
MHNL,Mountain Hydro Nepal Limited,Hydro Power
GBILD84/85,"Global IME Bank Debenture, 2084/85",Non-Convertible Debenture
PSF,Prabhu Select Fund,Mutual Fund
EBLD85,10.50% Everest Bank Limited Debenture 2085,Non-Convertible Debenture
PCBLP,Prime Commercial Bank Promoter Share,Commercial Banks
UNL,Unilever Nepal Limited,Manufacturing And Processing
NMFBS,National Laghubitta Bittiya Sanstha Limited,Microfinance
NMB50,NMB 50,Mutual Fund
NMBHF2,NMB Hybrid Fund L- II,Mutual Fund
DLBS,Dhaulagiri Laghubitta Bittiya Sanstha Limited,Microfinance
EBLD86,Everest Bank Limited,Non-Convertible Debenture
NICFC,NIC Asia Flexi CAP Fund,Mutual Fund
MNMF1,Muktinath Mutual Fund 1,Mutual Fund
NABBC,Narayani Development Bank Limited,Development Banks
GLBSL,Gurans Laghubitta Bittiya Sanstha Limited,Microfinance
NIBLGF,NIBL Growth Fund,Mutual Fund
SBL,Siddhartha Bank Limited,Commercial Banks
GBBD85,"Garima Debenture, 2085",Non-Convertible Debenture
BOKD86,8.5% BOK Debenture 2086,Non-Convertible Debenture
ICFCD83,12% ICFC Finance Limited Debenture 2083,Non-Convertible Debenture
KBL,Kumari Bank Limited,Commercial Banks
LVF2,Laxmi Value Fund 2,Mutual Fund
CZBIL,Citizens Bank International Limited,Commercial Banks
KEF,Kumari Equity Fund,Mutual Fund
DHPL,Dibyashwori Hydropower Ltd.,Hydro Power
FOWAD,Forward Microfinance Laghubitta Bittiya Sanstha Limited,Microfinance
SAGF,Sanima Growth Fund,Mutual Fund
SRLI,Sanima Reliance Life Insurance Limited,Life Insurance
SMFBS,Swabhimaan Laghubitta Bittiya Sanstha Limited,Microfinance
GIBF1,Global IME Balanced Fund-1,Mutual Fund
EBL,Everest Bank Limited,Commercial Banks
NBL,Nepal Bank Limited,Commercial Banks
NBF2,NABIL BALANCED FUND-2,Mutual Fund
USHL,Upper Syange Hydropower Limited,Hydro Power
MMF1,Mega Mutual Fund -1,Mutual Fund
KBLD89,11% KBL Debenture 2089,Non-Convertible Debenture
SEF,Siddhartha Equity Fund,Mutual Fund
NTC,Nepal Doorsanchar Company Limited,Others
SADBL,Shangrila Development Bank Ltd.,Development Banks
CMF2,CITIZENS MUTUAL FUND 2,Mutual Fund
H8020,Himalayan 80-20,Mutual Fund
CIT,Citizen Investment Trust,Investment
USHEC,Upper Solu Hydro Electric Company Limited,Hydro Power
CBBL,Chhimek Laghubitta Bittiya Sanstha Limited,Microfinance
UNHPL,Union Hydropower Limited,Hydro Power
GRDBL,Green Development Bank Ltd.,Development Banks
KPCL,Kalika power Company Ltd,Hydro Power
SBLD89,10.75% SBL Debenture 2089,Non-Convertible Debenture
GMLI,Guardian Micro Life Insurance Limited ,Life Insurance
PPCL,Panchthar Power Compant Limited,Hydro Power
SSHL,Shiva Shree Hydropower Ltd,Hydro Power
UPPER,Upper Tamakoshi Hydropower Ltd,Hydro Power
CHCL,Chilime Hydropower Company Limited,Hydro Power
NICLBSL,NIC ASIA Laghubitta Bittiya Sanstha Limited,Microfinance
ICFCD88,9% ICFC Finance Limited Debenture 2088,Non-Convertible Debenture
ANLB,Aatmanirbhar Laghubitta Bittiya Sanstha Limited,Microfinance
NLIC,Nepal Life Insurance Co. Ltd.,Life Insurance
PRVU,Prabhu  Bank Limited,Commercial Banks
C30MF,Citizens Super 30 Mutual Fund,Mutual Fund
LSL,Laxmi Sunrise Bank Limited,Commercial Banks
SCB,Standard Chartered Bank Limited,Commercial Banks
MEN,Mountain Energy Nepal Limited,Hydro Power
MLBSL,Mahila Lagubitta Bittiya Sanstha Limited ,Microfinance
SNLI,Sun Nepal Life Insurance Company Limited,Life Insurance
ACLBSL,Aarambha Chautari Laghubitta Bittiya Sanstha Limited,Microfinance
NICGF2,NIC ASIA Growth Fund-2,Mutual Fund
NUBL,Nirdhan Utthan Laghubitta Bittiya Sanstha Limited,Microfinance
SPL,Shuvam Power Limited,Hydro Power
NMBD87/88,NMB Debenture 8.50% - 2087/88,Non-Convertible Debenture
GCIL,Ghorahi Cement Industry Limited,Manufacturing And Processing
NIBSF2,NIBL Samriddhi Fund -2,Mutual Fund
ADBL,Agricultural Development Bank Limited,Commercial Banks
HEIP,Himalayan Everest Insurance Limited Promoter,Non Life Insurance
WNLB,Wean Nepal Laghubitta Bittiya Sanstha Limited,Microfinance
GBIMESY2,Global IME Sammunat Yojana -2,Mutual Fund
NICL,Nepal Insurance Co. Ltd.,Non Life Insurance
NMBMF,NMB  Microfinance Bittiya Sanstha Ltd.,Microfinance
MBL,Machhapuchhre Bank Limited,Commercial Banks
KBSH,Kutheli Bukhari Small Hydropower Limited,Hydro Power
CKHL,Chirkhwa Hydropower Limited ,Hydro Power
KSBBLD87,9% Kamana Sewa Bikas Bank Limited Debenture 2087,Non-Convertible Debenture
SFEF,Sunrise Focused Equity Fund,Mutual Fund
CBLD88,Civil Bank Debenture 2088,Non-Convertible Debenture
PURE,Pure Energy Limited,Others
GBILD86/87,Global IME Bank Limited Debenture 2086/87,Non-Convertible Debenture
NICBF,NIC Asia Balanced Fund,Mutual Fund
