S.N.,Stock Name,Stock Symbol,Sector,Total Shares
1,10 % NMB DEBENTURE 2085,NMBD2085,Corporate Debenture,0.00
2,10% Himalayan Bank Debenture 2083,HBLD83,Corporate Debenture,0.00
3,10% Laxmi Bank Debenture 2086,LBLD86,Corporate Debenture,0.00
4,10% Nabil Debenture 2082,NBLD82,Corporate Debenture,0.00
5,10% Nepal SBI Bank Debenture 2086,SBIBD86,Corporate Debenture,0.00
6,10% NIC Asia Debenture 2085/86,NICAD 85/86,Corporate Debenture,"2,404,688.00"
7,10% Prabhu Bank Debenture 2084,PBLD84,Corporate Debenture,0.00
8,10% Sanima Bank Limited Debenture,SAND2085,Corporate Debenture,"2,000,000.00"
9,10% Sunrise Debenture 2080,SRD80,Corporate Debenture,"1,000,000.00"
10,10.25% Citizens Bank Debenture 2086,CIZBD86,Corporate Debenture,0.00
11,10.25% GLOBAL IME BANK LTD. DEBENTURE 2080/81,GBD80/81,Corporate Debenture,"103,105,160.00"
12,10.25% KBL Debenture 2086,KBLD86,Corporate Debenture,0.00
13,10.25% Machhapuchhre Bank Debenture 2085,MBLD2085,Corporate Debenture,0.00
14,10.25% NBBL Debenture 2085,NBBD2085,Corporate Debenture,0.00
15,10.25% NIC Asia Debenture 2083/84,NICD83/84,Corporate Debenture,0.00
16,10.25% Prabhu Bank  Debenture 2086,PBLD86,Corporate Debenture,0.00
17,10.25% SBL Debenture 2083,SBLD83,Corporate Debenture,0.00
18,10.25% Sunrise Bank Debenture 2083,SRBLD83,Corporate Debenture,0.00
19,10.35% Agricultural Bank Debenture 2083,ADBLD83,Corporate Debenture,0.00
20,10.5 % NEPAL INVESTMENT DEBENTURE 2082,NIBD2082,Corporate Debenture,0.00
21,10.50% SBL Debenture 2082,SBLD2082,Corporate Debenture,0.00
22,11% NIC Asia Debenture 082/83,NICAD8283,Corporate Debenture,0.00
23,12 % Goodwill Finance Limited Debenture 2083,GWFD83,Corporate Debenture,0.00
24,12% ICFC Finance Limited Debenture 2083,ICFCD83,Corporate Debenture,0.00
25,4% Agricultural Bond,ADBLB,Corporate Debenture,0.00
26,8% BOK Debenture 2079,BOKD2079,Corporate Debenture,0.00
27,8.5% BOK Debenture 2086,BOKD86,Corporate Debenture,"1,600,000.00"
28,8.5% Laxmi Bank Debenture 2088,LBLD88,Corporate Debenture,0.00
29,8.5% Machhapuchchhre Debenture 2087,MBLD87,Corporate Debenture,0.00
30,8.5% Nepal Bank Debenture 2087,NBLD87,Corporate Debenture,0.00
31,8.5% Nepal Investment Bank Debenture 2084,NIBD84,Corporate Debenture,0.00
32,8.5% Prabhu Bank Debenture 2087,PBLD87,Corporate Debenture,0.00
33,8.5% RBBL Debenture 2083,RBBD83,Corporate Debenture,0.00
34,8.5% Sanima Debenture 2087,SBD87,Corporate Debenture,0.00
35,8.5% SBL Debenture 2084,SBLD84,Corporate Debenture,0.00
36,8.75 % Prime Debenture 2085,PBD85,Corporate Debenture,0.00
37,9% Kamana Sewa Bikas Bank Limited Debenture 2087,KSBBLD87,Corporate Debenture,0.00
38,9% NIC Asia Debenture 2081/82,NICAD8182,Corporate Debenture,0.00
39,9.5% Manjushree Finance Limited Debenture 2085,MFLD85,Corporate Debenture,0.00
40,9.5% NCC Debenture 2086,NCCD86,Corporate Debenture,0.00
41,Aarambha Chautari Laghubitta Bittiya Sanstha Limited,ACLBSL,Microfinance,"3,671,435.00"
42,ADHIKHOLA LAGHUBITTA BITTIYA SANSTHA LIMITED,AKBSL,Microfinance,"1,190,000.00"
43,Agricultural Bond (8 Year),ADBLB86,Corporate Debenture,0.00
44,Agricultural Bond (9 Year),ADBLB87,Corporate Debenture,0.00
45,Agricultural Development Bank Limited,ADBL,Commercial Banks,"131,879,158.00"
46,Ajod Insurance Limited,AIL,Non Life Insurance,"10,000,000.00"
47,Ankhu Khola Jalvidhyut Company Ltd,AKJCL,Hydro Power,"8,000,000.00"
48,Api Power Company Ltd.,API,Hydro Power,"38,449,156.00"
49,Arambha Microfinance Bittiya Sanstha Ltd.,AMFI,Microfinance,"644,280.00"
50,Arun Kabeli Power Ltd.,AKPL,Hydro Power,"18,552,105.00"
51,Arun Valley Hydropower Development Co. Ltd.,AHPC,Hydro Power,"17,295,950.00"
52,Arun Vanaspati Udhyog Limited,AVU,Manufacturing And Processing,"550,343.00"
53,Asha Laghubitta Bittiya Sanstha Ltd,ALBSL,Microfinance,"3,339,140.00"
54,Asian Life Insurance Co. Limited,ALICL,Life Insurance,"25,398,350.00"
55,Balephi Hydropower Limited,BHL,Hydro Power,"18,279,700.00"
56,Bank of Kathmandu Ltd.,BOKL,Commercial Banks,"106,239,941.00"
57,Barun Hydropower Co. Ltd.,BARUN,Hydro Power,"2,679,075.00"
58,Best Finance Company Ltd.,BFC,Finance,"8,289,138.00"
59,Bhargav Bikash Bank Ltd.,BHBL,Development Banks,"5,016,002.00"
60,Birat Shoe Limited,BSL,Manufacturing And Processing,"165,000.00"
61,Bishal Bazar Company Limited,BBC,Tradings,"491,400.00"
62,Bottlers Nepal (Balaju) Limited,BNL,Manufacturing And Processing,"1,948,887.00"
63,Bottlers Nepal (Terai) Limited,BNT,Manufacturing And Processing,"1,210,000.00"
64,Buddha Bhumi Nepal Hydropower Company Limited,BNHC,Hydro Power,"4,000,000.00"
65,Butwal Power Company Limited,BPCL,Hydro Power,"32,463,268.00"
66,Butwal Spinning Mills Limited,BSM,Manufacturing And Processing,"1,306,693.00"
67,Capital Merchant Bank & Finance Co. Ltd.,CMB,Finance,"9,350,695.00"
68,CEDB Hydropower Development Company Limited,CHDC,Investment,"8,394,100.00"
69,Central Finance Co. Ltd.,CFCL,Finance,"9,488,756.00"
70,Century Commercial Bank Ltd.,CCBL,Commercial Banks,"95,539,092.00"
71,Century Debenture 2088,CCBD88,Corporate Debenture,0.00
72,Chandragiri Hills Limited,CGH,Hotels,"15,340,910.00"
73,Chhimek Laghubitta Bittiya Sanstha Limited,CBBL,Microfinance,"23,241,000.00"
74,Chhyangdi Hydropower Ltd.,CHL,Hydro Power,"3,869,775.00"
75,Chilime Hydropower Company Limited,CHCL,Hydro Power,"67,517,948.00"
76,Citizen Investment Trust,CIT,Investment,"32,700,004.00"
77,Citizens Bank International Limited,CZBIL,Commercial Banks,"142,009,741.00"
78,Citizens Mutual Fund -1,CMF1,Mutual Fund,"82,000,000.00"
79,CITIZENS MUTUAL FUND 2,CMF2,Mutual Fund,"56,000,000.00"
80,City Express Finance Co. Limited,CEFL,Finance,"4,005,000.00"
81,Civil Bank Ltd,CBL,Commercial Banks,"90,758,442.00"
82,Civil Laghubitta Bittiya Sanstha Ltd.,CLBSL,Microfinance,"2,881,245.00"
